 9 0 48 75 76 
 9 1 64 27 62 
 9 2 86 42 23 
 9 3 26 11 41 
 9 4 33 31 30 
 9 5 90 68 89 
 9 6 11 40 97 
 9 7 19 89 22 
 9 8 14 94 99 
 9 9 94 67 54 
 9 10 51 66 65 
 9 11 35 84 23 
 9 12 56 51 1 
 9 13 78 34 37 
 9 14 55 1 33 
 9 15 96 72 6 
 9 16 24 44 53 
 9 17 85 10 98 
 9 18 4 41 15 
 9 19 23 65 53 
 9 20 28 39 82 
 9 21 27 76 81 
 9 22 49 20 39 
 9 23 27 57 82 
 9 24 87 69 0 
 9 25 38 11 22 
 9 26 19 23 94 
 9 27 90 58 94 
 9 28 9 35 18 
 9 29 44 46 17 
 9 30 17 67 6 
 9 31 64 10 42 
 9 32 94 63 95 
 9 33 17 76 66 
 9 34 71 67 97 
 9 35 15 69 69 
 9 36 58 36 90 
 9 37 61 88 43 
 9 38 14 17 7 
 9 39 6 68 2 
 9 40 11 77 10 
 9 41 64 5 0 
 9 42 8 36 70 
 9 43 12 65 23 
 9 44 44 44 31 
 9 45 83 28 24 
 9 46 20 80 84 
 9 47 74 22 49 
 9 48 62 38 26 
 9 49 1 3 85 
 9 50 10 46 11 
 9 51 70 74 43 
 9 52 91 91 56 
 9 53 96 74 64 
 9 54 3 76 32 
 9 55 58 4 42 
 9 56 35 55 3 
 9 57 59 33 14 
 9 58 44 95 92 
 9 59 72 66 23 
 9 60 46 68 7 
 9 61 41 92 16 
 9 62 80 33 49 
 9 63 55 72 75 
 9 64 30 71 54 
 9 65 76 34 52 
 9 66 3 3 88 
 9 67 43 11 14 
 9 68 97 30 75 
 9 69 54 69 83 
 9 70 72 13 66 
 9 71 64 44 62 
 9 72 55 41 58 
 9 73 69 25 15 
 9 74 15 9 0 
 9 75 25 6 91 
 9 76 82 92 69 
 9 77 33 58 4 
 9 78 25 99 24 
 9 79 22 92 23 
 9 80 83 64 81 
 9 81 40 2 0 
 9 82 61 30 20 
 9 83 31 90 68 
 9 84 13 28 5 
 9 85 42 94 82 
 9 86 49 33 78 
 9 87 71 88 90 
 9 88 85 87 53 
 9 89 24 94 29 
 9 90 61 33 2 
 9 91 30 45 42 
 9 92 93 75 59 
 9 93 53 88 6 
 9 94 12 97 70 
 9 95 11 40 68 
 9 96 70 59 90 
 9 97 91 54 83 
 9 98 80 83 64 
 9 99 75 56 72 
