100
49 75 76
64 27 62
87 42 23
26 11 41
33 32 30
90 68 89
12 41 97
19 89 22
14 94 99
94 67 54
52 66 65
36 84 23
56 50 1
78 34 37
54 1 33
96 72 6
24 45 53
86 11 98
5 42 15
24 66 53
28 40 82
28 76 81
48 20 39
28 58 82
87 69 0
37 11 22
19 24 94
90 58 94
10 36 18
44 46 17
17 68 6
64 11 42
94 63 95
17 76 66
72 67 97
15 70 69
57 36 90
62 89 43
15 17 7
6 69 2
11 77 10
64 6 0
9 37 70
12 66 23
44 44 31
84 28 24
21 80 84
74 23 49
61 38 26
2 3 85
11 47 11
71 75 43
91 92 56
96 74 64
3 76 32
57 4 42
36 56 3
58 33 14
45 95 92
73 66 23
47 68 7
42 92 16
80 33 49
56 72 75
31 72 54
76 34 52
4 3 88
42 11 14
98 30 75
55 69 83
72 14 66
64 44 62
55 41 58
69 25 15
16 9 0
25 6 91
82 93 69
34 59 4
26 98 24
23 92 23
83 64 81
39 2 0
60 30 20
32 90 68
14 29 5
43 94 82
48 33 78
72 89 90
85 88 53
25 94 29
60 33 2
30 46 42
93 76 59
54 88 6
12 97 70
12 41 68
71 59 90
91 54 83
80 84 64
76 56 72
